,0
0,identity
1,access
2,management
3,iam
4,sr.
5,lead
6,business
7,analyst
8,full-time
9,permanent
10,summary
11,join
12,aperia
13,solutions
14,leader
15,saas
16,solutions
17,payments
18,compliance
19,industries
20,aperia
21,developing
22,hosting
23,complex
24,data
25,intensive
26,business
27,applications
28,decade
29,company
30,'s
31,management
32,team
33,extensive
34,experience
35,finance
36,data
37,security
38,compliance
39,business
40,consulting
41,continues
42,fuel
43,rapid
44,growth
45,aperia
46,offers
47,competitive
48,salary
49,package
50,great
51,work
52,environment
53,excellent
54,people
55,identity
56,access
57,management
58,iam
59,sr.
60,lead
61,business
62,analyst
63,responsibility
64,leading
65,production
66,security
67,strategy
68,across
69,iam
70,applications
71,tools
72,implementing
73,highest
74,level
75,detail
76,across
77,various
78,teams
79,business
80,functions
81,work
82,collaboratively
83,within
84,iam
85,product
86,team
87,iam
88,technology
89,business
90,operations
91,groups
92,technology
93,partners
94,across
95,organization
96,prioritize
97,development
98,needs
99,iam
100,products
101,also
102,seek
103,feedback
104,iam
105,application
106,end-users
107,identify
108,document
109,decision
110,enhancement
111,needs
112,based
113,experiences
114,responsibilities
115,·
116,maintains
117,regular
118,touchpoints
119,product
120,stakeholders
121,·
122,understands
123,drives
124,product
125,vision
126,represents
127,customer
128,voice
129,adjusts
130,meet
131,changing
132,needs
133,identity
134,access
135,management
136,iam
137,stakeholders
138,·
139,analyzes
140,potential
141,enhancements
142,requests
143,determine
144,best
145,way
146,develop
147,build
148,best
149,solution
150,time
151,available
152,setting
153,expectations
154,delivery
155,new
156,functionality
157,·
158,partners
159,team
160,estimate
161,backlog
162,prioritizes
163,ongoing
164,sprints
165,mainatin
166,roadmap
167,·
168,takes
169,backlog
170,refinement
171,seriously
172,spends
173,time
174,refining
175,backlog
176,adding
177,detail
178,go
179,·
180,knows
181,say
182,ensures
183,good
184,backlog
185,management
186,creating
187,manageable
188,backlog
189,items
190,likely
191,get
192,realized
193,·
194,oversees/manages
195,detailed
196,information
197,gathering
198,business
199,teams
200,specialist
201,teams
202,ux
203,analytics
204,etc
205,preparing
206,handover
207,requirements
208,scrum
209,teams
210,form
211,epics
212,user
213,stories
214,·
215,ensures
216,scrum
217,meetings
218,allow
219,honest
220,direct
221,feedback
222,provides
223,sprint
224,goals
225,completes
226,planning
227,gets
228,feedback
229,via
230,retrospectives
231,·
232,validates
233,delivery
234,acceptance
235,criteria
236,ensures
237,aligned
238,quality
239,delivery
240,“
241,definition
242,done
243,”
244,·
245,observes
246,analyzes
247,learns
248,market
249,customers
250,end
251,users
252,product
253,·
254,communicates
255,roadmap
256,align
257,dependent
258,teams
259,stakeholders
260,·
261,impacts
262,business
263,change
264,guides
265,switch
266,tactical
267,execution
268,broader
269,business-wide
270,thinking
271,·
272,measures
273,value
274,delivered
275,customers
276,development
277,iteration
278,qualifications
279,·
280,ability
281,delivers
282,results
283,track
284,record
285,achievement
286,accountability
287,translating
288,complex
289,strategies
290,actionable
291,plans
292,·
293,analytical
294,planning
295,organizational
296,skills
297,talent
298,managing
299,competing
300,demands
301,plus
302,·
303,time-management
304,proven
305,ability
306,set
307,priorities
308,manage
309,deadlines
310,make
311,data-driven
312,decisions
313,·
314,judgement
315,problem-solving
316,skills
317,demonstrating
318,sound
319,judgement
320,assessing
321,risks
322,making
323,decisions
324,balance
325,variety
326,factors
327,always
328,maintaining
329,integrity
330,core
331,values
332,business
333,strategy
334,·
335,relationship
336,building
337,stakeholder
338,management
339,communication
340,skills
341,engaged
342,influencer
343,·
344,identity
345,access
346,management
347,product
348,experience
349,·
350,competency
351,minimal
352,viable
353,product
354,mvp
355,project
356,life
357,cycles
358,structured
359,analysis
360,process
361,methodologies
362,·
363,experience
364,writing
365,user
366,stories
367,scrum
368,teams
369,delivering
370,business
371,value
372,leveraging
373,training
374,·
375,knowledge
376,least
377,one
378,lifecycle
379,tool
380,jira
381,ca
382,ppm
383,clarity
384,ca
385,rally
386,·
387,requires
388,in-depth
389,knowledge
390,job
391,area
392,typically
393,obtained
394,higher
395,level
396,education
397,combined
398,work
399,experience
400,·
401,typically
402,viewed
403,subject
404,matter
405,expert
406,sme
407,·
408,may
409,in-depth
410,knowledge
411,project
412,management
413,·
414,requires
415,10
416,years
417,minimum
418,prior
419,relevant
420,experience
421,·
422,bachelor
423,'s
424,degree
425,·
426,must
427,solid
428,organizational
429,skills
430,ability
431,handle
432,complex
433,projects
434,multi-tasking
435,environment
436,·
437,outstanding
438,written
439,verbal
440,communication
441,skills
442,documenting
443,necessary
444,processes
445,business
446,requirement
447,proposals
448,client
449,interaction
450,project
451,documentation
452,required
453,·
454,thorough
455,understanding
456,application
457,principles
458,standards
459,industry
460,practices
461,techniques
462,concepts
463,well
464,contributing
465,development
466,new
467,concepts
468,techniques
469,standards
470,·
471,exercises
472,judgment
473,selecting
474,methods
475,techniques
476,evaluation
477,criteria
478,obtaining
479,results
480,·
481,demonstrated
482,ability
483,develop
484,solutions
485,highly
486,complex
487,diverse
488,analytical
489,problems
490,requires
491,in-depth
492,evaluation
493,variable
494,factors
495,·
496,prior
497,experience
498,working
499,large
500,implementation
501,projects
502,job
503,description
504,intended
505,all-inclusive
506,employee
507,may
508,also
509,perform
510,reasonable
511,related
512,business
513,duties
514,assigned
515,immediate
516,supervisor
517,management
518,principals
519,recruiters
520,please
521,n't
522,contact
523,job
524,poster
525,contact
526,us
