,0
624,directories
625,sso
626,federation
627,mfa
628,api
629,gateways
630,soa
631,services
632,privileged
633,access
634,management
635,platforms
636,configures
637,identity
638,access
639,systems
640,enforce
641,security
642,policies
643,leads
644,design
645,construction
646,implementation
647,phases
648,large
649,complex
650,identity
651,access
652,projects
653,maintains
654,traceability
655,relationships
656,user
657,stories
658,personas
659,use
660,cases
661,interactions
662,workflows
663,activities
664,functional
665,non-functional
666,requirements
667,tests
668,realization
669,provides
670,training
671,escalation
672,support
673,guidance
674,team
675,members
676,provides
677,experience
678,representing
679,technical
680,viewpoints
681,diverse
682,audiences
683,making
684,timely
685,prudent
686,technical
687,risk
688,decision/recommendations
689,position
690,requires
691,person
692,able
693,work
694,well
695,within
696,team
697,environment
698,willingness
699,assist
700,team
701,member
702,needed
703,helps
704,team
705,maintain
706,good
707,relations
708,vendors
709,job
710,type
711,full-time
712,pay
713,"96,626.00"
714,"140,492.00"
715,per
716,year
717,benefits
718,401
719,k
720,401
721,k
722,matching
723,dental
724,insurance
725,employee
726,assistance
727,program
728,employee
729,discount
730,flexible
731,schedule
732,flexible
733,spending
734,account
735,health
736,insurance
737,health
738,savings
739,account
740,life
741,insurance
742,paid
743,time
744,referral
745,program
746,retirement
747,plan
748,tuition
749,reimbursement
750,vision
751,insurance
752,schedule
753,8
754,hour
755,shift
756,covid-19
757,considerations
758,baylor
759,college
760,medicine
761,requires
762,employees
763,fully
764,vaccinated
765,-subject
766,approved
767,exemptions-against
768,vaccine-preventable
769,diseases
770,including
771,limited
772,covid-19
773,influenza
774,application
775,question
776,identity
777,management
778,products
779,managed
780,and/or
781,deployed
782,experience
783,identity
784,access
785,management
786,5
787,years
788,required
789,project
790,management
791,4
792,years
793,preferred
794,large
795,enterprise
796,5
797,years
798,preferred
799,work
800,location
801,hybrid
802,remote
803,houston
804,tx
805,77030
806,show
807,less
808,team
809,name
810,job
811,title
812,iam
813,architect
814,authentication
815,access
816,management
817,requisition
818,id
819,r017833
820,job
821,description
822,platform
823,activision
824,blizzard
825,plays
826,centralized
827,role
828,creation
829,epic
830,entertainment
831,supporting
832,interactive
833,gaming
834,brands
835,studios
836,diverse
837,range
838,career
839,opportunities
840,across
841,corporate
842,functions
843,marketing
844,communications
845,legal
846,human
847,resources
848,finance
849,supply
850,chain
851,located
852,global
853,headquarters
854,santa
855,monica
856,encompass
857,equal
858,parts
859,agility
860,creativity
861,rigor
862,enhance
863,employee
864,player
865,experience
866,learn
867,check
868,us
869,www.activisionblizzard.com
870,twitter
871,atvi_ab
872,mission
873,activision
874,publisher
875,hit
876,call
877,duty
878,franchise
879,looking
880,skilled
881,iam/sso
882,engineer
883,join
884,activision
885,blizzard
886,king
887,abk
888,information
889,security
890,team
891,abk
892,aim
893,deliver
894,best
895,user
896,experience
897,business
898,driven
899,processes
900,manage
901,identity
902,data
903,authentication
904,authorization
905,experience
906,users
907,you⊙ll
908,joining
909,highly
910,technical
911,team
912,charged
913,mission
914,design
915,build
916,iam
917,program
918,provides
919,identity
920,governance
921,provisioning
922,services
923,across
924,breadth
925,enterprise
926,via
927,single
928,unified
929,identity
930,you⊙ll
931,work
932,closely
933,principal
934,iam
935,architect
936,contributing
937,towards
938,effort
939,focusing
940,authentication
941,access
942,management
943,working
944,transform
945,improve
946,abk⊙s
947,authentication
948,authorization
949,experience
950,using
951,single-sign-on
952,sso
953,multi-factor
954,mfa
955,novel
956,authentication
957,access
958,management
959,technologies
960,placing
961,identity
962,center
963,security
964,decision
965,making
966,process
967,you⊙ll
968,opportunity
969,work
970,critical
971,pivotal
972,initiatives
973,enterprise
974,get
975,implement
976,work
977,innovative
978,technologies
979,space
980,ideal
981,candidate
982,already
983,extensive
984,experience
985,working
986,modern
987,enterprise
988,authentication
989,access
990,management
991,technologies
992,fast
993,paced
994,technology
995,environment
996,priorities
997,often
998,change
999,fast-paced
1000,environment
1001,like
1002,role
1003,includes
1004,limited
1005,following
1006,responsibilities
1007,act
1008,sme
1009,relating
1010,aspects
1011,authentication
1012,access
1013,management
1014,include
1015,frontend
1016,systems/interfaces
1017,backend
1018,providers
1019,support
1020,technical
1021,integration
1022,needs
1023,facilitate
1024,connectivity
1025,sso
1026,mfa
1027,authentication
1028,mechanisms
1029,enterprise
1030,directory
1031,identity
1032,provisioning
1033,tool
1034,drive
1035,adoption
1036,sso
1037,authentication
1038,always
1039,looking
1040,ways
1041,encourage
1042,updates
1043,legacy
1044,authentication
1045,schemes
1046,generate
1047,develop
1048,reports
1049,rules
1050,dashboards
1051,policies
1052,identify
1053,alert
1054,compliance
1055,issues
1056,partner
1057,security
1058,architecture
1059,engineering
1060,teams
1061,conduct
1062,gap
1063,assessment
1064,current
1065,microsoft
1066,active
1067,directory/azure
1068,ad
1069,security
1070,best
1071,practices
1072,designing
1073,implementing
1074,controls
1075,enhance
1076,security
1077,posture
1078,monitoring
1079,capabilities
1080,design
1081,implement
1082,enterprise
1083,wide
1084,privileged
1085,access
1086,management
1087,pam
1088,solution
1089,design
1090,implement
1091,enterprise
1092,wide
1093,zero
1094,sign-on/passwordless
1095,authentication
1096,solution
1097,partner
1098,security
1099,operations
1100,team
1101,stakeholders
1102,develop
1103,behavioral
1104,detections
1105,alerting
1106,response
1107,plans
1108,anomalous
1109,authentication
1110,activities
1111,partner
1112,team
1113,design
1114,implement
1115,migrate
1116,single
1117,unified
1118,authentication
1119,directory
1120,continuously
1121,developing
1122,capabilities
1123,support
1124,modern
1125,connectivity
1126,authentication
1127,authorization
1128,requirements
1129,helping
1130,team
1131,solve
1132,user
1133,issues
1134,providing
1135,accurate
1136,documentation
1137,identify
1138,gaps
1139,current
1140,processes
1141,documentation
1142,workflows
1143,design
1144,solutions
1145,recommending
1146,and/or
1147,delivering
1148,changes
1149,enhancements
1150,needed
1151,improve
1152,clarity
1153,efficiency
1154,scalability
1155,offerings
1156,collaborate
1157,principal
1158,iam
1159,architect
1160,security
1161,teams
1162,define
1163,iam
1164,standards
1165,specifications
1166,player
1167,profile
1168,minimum
1169,requirements
1170,several
1171,years
1172,hands-on
1173,experience
1174,iam/sso
1175,engineer
1176,microsoft
1177,active
1178,directory
1179,administrator
1180,experience
1181,securing
1182,administering
1183,integrating
1184,applications
1185,enterprise
1186,sso/authentication
1187,platforms
1188,e.g
1189,microsoft
1190,active
1191,directory
1192,azure
1193,ad
1194,okta
1195,ping
1196,identity
1197,duo
1198,etc
1199,..
1200,intimate
1201,knowledge
1202,authentication
1203,protocols
1204,ldap
1205,kerberos
1206,saml
1207,openid
1208,connect
1209,oauth
1210,mfa
1211,etc
1212,..
1213,knowledge
1214,iam
1215,authentication
1216,frameworks
1217,cloud
1218,environments
1219,experience
1220,working
1221,systems
1222,integration
1223,projects
1224,good
1225,understanding
1226,information
1227,security
1228,iam
1229,best
1230,practices
1231,principles
1232,good
1233,interpersonal
1234,skills
1235,ability
1236,communicate
1237,effectively
1238,technical
1239,non-technical
1240,collaborators
1241,ability
1242,solve
1243,problems
1244,independently
1245,drive
1246,collaboration
1247,immediate
1248,team
1249,external
