,0
0,·
1,3+
2,years
3,relevant
4,intelligence
5,engineer
6,data
7,engineer
8,analyst
9,data
10,scientist
11,equivalent
12,·
13,proficiency
14,data
15,querying
16,modeling
17,technique
18,sql
19,·
20,data
21,visualization
22,using
23,quicksight
24,tableau
25,similar
26,tools
27,·
28,proficiency
29,scripting
30,language
31,java
32,python
33,r
34,·
35,bachelor
36,degree
37,engineering
38,statistics
39,computer
40,science
41,operations
42,research
43,analytics
44,information
45,systems
46,related
47,field
48,summary
49,looking
50,intelligence
51,engineers
52,talents
53,create
54,bi
55,solutions
56,providing
57,cutting
58,edge
59,insights
60,analytics
61,help
62,tell
63,story
64,stores
65,security
66,programs
67,performing
68,stores
69,security
70,teams
71,span
72,ten
73,countries
74,worldwide
75,focus
76,areas
77,include
78,security
79,intelligence
80,application
81,security
82,incident
83,response
84,security
85,operations
86,risk
87,compliance
88,acquisitions
89,subsidiaries
90,external
91,partner
92,security
93,makes
94,role
95,different
96,others
97,simple
98,scope
99,get
100,part
101,stores
102,security
103,plus
104,external
105,stakeholders
106,working
107,large
108,number
109,complex
110,migration
111,projects
112,given
113,lot
114,independence
115,focus
116,area
117,stores
118,security
119,put
120,stamp
121,amazon.com
122,strives
123,earth
124,customer-centric
125,company
126,people
127,discover
128,virtually
129,anything
130,want
131,buy
132,online
133,world
134,brightest
135,minds
136,come
137,amazon.com
138,research
139,develop
140,technology
141,improves
142,lives
143,shoppers
144,developers
145,publishers
146,sellers
147,around
148,world
149,amazon
150,offer
151,earth
152,largest
153,selection
154,lowest
155,prices
156,customers
157,key
158,building
159,professionals
160,forward-looking
161,using
162,latest
163,technology
164,offerings
165,aws
166,cloud
167,machine
168,learning
169,mathematical
170,optimization
171,relational
172,nosql
173,databases
174,build
175,capability
176,operationalize
177,automate
178,migration
179,methodologies
180,manage
181,metrics
182,reporting
183,process
184,perform
185,ad
186,hoc
187,reporting
188,requests
189,drive
190,process
191,efficiency
192,automation
193,partnering
194,engineering
195,product
196,finance
197,teams
198,create
199,key
200,performance
201,indicators
202,methodologies
203,measurement
204,key
205,executive
206,reports
207,metrics
208,consumed
209,vps
210,directors
211,provide
212,thought
213,leadership
214,global
215,deep
216,dives
217,variety
218,key
219,performance
220,indicators
221,retrieve
222,analyze
223,data
224,database
225,tables
226,ex
227,redshift
228,oracle
229,learn
230,understand
231,broad
232,amazon
233,data
234,resources
235,know
236,use
237,use
238,analyze
239,volumes
240,data
241,find
242,root
243,causes
244,behind
245,variances
246,drive
247,insights
248,build
249,analytical
250,tools
251,interfacing
252,technical
253,stakeholders
254,develop
255,models
256,metrics
257,providing
258,insights
259,customer
260,seller
261,performance
262,position
263,may
264,located
265,austin
266,tx
267,arlington
268,va
269,seattle
270,locations
271,possible
272,drives
273,automation
274,authoritative
275,datasets
276,facilitate
277,analysis
278,performance
279,stores
280,security
281,organization
282,record
283,using
284,datasets
285,insights
286,directly
287,product
288,teams
289,drive
290,change
291,within
292,directly
293,owners
294,program
295,managers
296,translate
297,ambiguous
298,situations
299,technical
300,implementations
301,deliver
302,recommendations
303,exceed
304,expectation
305,partners
306,understand
307,automation
308,key
309,success
310,constantly
311,find
312,techniques
313,ensure
314,automation
315,derived
316,datasets
317,feature
318,data
319,activities
320,·
321,5+
322,years
323,relevant
324,intelligence
325,engineer
326,data
327,engineer
328,analyst
329,data
330,scientist
331,equivalent
332,·
333,strong
334,fundamentals
335,problem-solving
336,algorithm
337,design
338,complexity
339,analysis
340,·
341,data
342,mining
343,sql
344,etl
345,etc
346,using
347,databases
348,environment
349,large-scale
350,complex
351,datasets
352,·
353,master
354,degree
355,bi
356,finance
357,engineering
358,statistics
359,computer
360,science
361,mathematics
362,finance
363,related
364,field
365,amazon
366,committed
367,diverse
368,inclusive
369,workplace
370,amazon
371,discriminate
372,basis
373,identity
374,legally
375,would
376,like
377,request
378,https
379,//www.amazon.jobs/en/disability/us
380,application
381,embark
382,currently
383,seeking
384,experienced
385,specialist
386,specific
387,skills
388,within
389,sailpoint
390,iiq
391,highly
392,visible
393,role
394,multi-phase
395,enterprise
396,level
397,initiative
398,3+
399,years
400,software
401,design
402,development
403,including
404,least
405,3+
406,years
407,development
408,identity
409,access
410,management
411,technologies
412,sailpoint
413,iiq
414,identitynow
415,3+
416,years
417,design
418,development
419,support
420,sailpoint
421,identityiq
422,iiq
423,including
424,life
425,cycle
426,manager
427,lcm
428,compliance
429,manager
430,cm
431,includes
432,hands
433,following
434,sailpoint
435,identityiq
436,components
437,workflows
438,rules
439,connectors
440,security
441,policies
442,aggregation
443,jobs
444,roles
445,certification
446,campaigns
447,application
448,integration
449,integrating
450,solutions
451,within
452,sap
453,environment
454,working
455,devops
456,environment
457,automation
458,first
459,mindset
460,leverage
461,coding/scripting
462,skills
463,working
464,apis
465,compose
466,articulate
467,present
468,complex
469,technical
470,issues
471,technicians
472,clients
473,gain
474,consensus
475,exposure
476,expert
477,knowledge
478,three
479,following
480,technologies
481,automated
482,provisioning
483,directory
484,application
485,on-boarding
486,password
487,management
488,re-certifications
489,access
490,requests
491,access
492,review
493,delegation
494,dynamic
495,organizations
496,role
497,based
498,security
499,access
500,control
501,customer
502,identity
503,management
504,types
505,full-time
506,contract
507,45.00
508,60.00
509,schedule
510,8
511,sailpoint
512,iiq
513,3
514,years
515,preferred
516,1+
517,years
518,contributing
519,system
520,design
521,architecture
522,architecture
523,design
524,patterns
525,reliability
526,scaling
527,current
528,systems
529,2+
530,years
531,non-internship
532,professional
533,software
534,development
535,programming
536,least
537,software
538,programming
539,language
540,summary
541,aws
542,features
543,within
544,cloud
545,provider–from
546,infrastructure
547,technologies
548,like
549,compute
550,storage
551,databases–to
552,emerging
553,technologies
554,machine
555,learning
556,artificial
557,intelligence
558,data
559,lakes
560,analytics
561,internet
562,things
563,aws
564,platform
565,glue
566,holds
567,aws
568,ecosystem
569,together
570,whether
571,identity
572,features
573,access
574,management
575,sign-on
576,cryptography
577,console
578,builder
579,developer
580,tools
581,even
582,projects
583,like
584,automating
585,contractual
586,billing
587,systems
588,aws
589,platform
590,always
591,innovating
592,customer
593,mind
594,aws
595,platform
596,sustains
597,750
598,million
599,transactions
600,second
601,aws
602,identity
603,access
604,management
605,enables
606,customers
607,secure
608,workloads
609,cloud
610,providing
611,authentication
612,authorization
613,mechanisms
614,growth
615,aws
616,workloads
617,access
618,patterns
619,keep
620,evolving
621,demanding
622,next
623,order
624,magnitude
625,scalability
626,looking
627,strong
628,software
629,engineers
630,build
631,next
632,generation
633,functionality
634,area
635,interested
636,position
637,building
638,high-performing
639,reliable
640,systems
641,complex
642,multi-tiered
643,distributed
644,environment
645,fast-paced
646,environment
647,desire
648,established
649,background
650,design
651,development
652,operations
653,highly
654,scalable
655,available
656,distributed
657,systems
658,must
659,strong
660,technical
661,skills
662,excellent
663,project
664,management
665,skills
666,great
667,skills
668,motivation
669,achieve
670,results
671,fast-paced
672,environment
673,highly
674,technical
675,space
676,strong
677,technical
678,contributor
679,understands
680,big
681,picture
682,drives
683,prioritization
684,builds
685,consensus
686,rallies
687,behind
688,include
689,driving
690,architecture
691,design
692,implementation
693,complex
694,components
695,maintaining
696,uncompromising
697,bar
698,quality
699,mentoring
700,junior
701,developers
702,software
703,within
704,us
705,inclusive
706,culture
707,aws
708,embrace
709,differences
710,committed
711,furthering
712,culture
713,inclusion
714,ten
715,employee-led
716,affinity
717,groups
718,reaching
719,"40,000"
720,employees
721,190
722,chapters
723,globally
724,innovative
725,benefit
726,offerings
727,host
728,annual
729,ongoing
730,learning
731,experiences
732,including
733,conversations
734,ethnicity
735,core
736,amazecon
737,diversity
738,conferences
739,amazon
740,culture
741,inclusion
742,reinforced
743,within
744,14
745,leadership
746,principles
747,remind
748,seek
749,diverse
750,perspectives
751,learn
752,curious
753,earn
754,trust
755,work/life
756,balance
757,puts
758,high
759,value
760,work-life
761,balance
762,many
763,hours
764,spend
765,home
766,flow
767,establish
768,brings
769,energy
770,parts
771,life
772,believe
773,striking
774,right
775,balance
776,personal
777,professional
778,life
779,critical
780,life-long
781,happiness
782,fulfillment
783,offer
784,flexibility
785,working
786,hours
787,encourage
788,find
789,balance
790,personal
791,lives
792,mentorship
793,career
794,growth
795,dedicated
796,supporting
797,broad
798,mix
799,levels
800,tenures
801,building
802,environment
803,celebrates
804,knowledge
805,sharing
806,mentorship
807,care
808,career
809,growth
810,strive
811,assign
812,projects
813,based
814,help
815,member
816,develop
817,better-rounded
818,professional
819,enable
820,take
821,complex
822,tasks
823,future
824,running
825,maintaining
826,24x7
827,production
828,environment
829,large
830,distributed
831,systems
832,large-scale
833,distributed
834,database
835,systems
836,storage
837,farms
838,and/or
839,horizontally
840,scaled
841,request
842,processing
843,fleets
844,exceptional
845,customer
846,focus
847,including
848,discover
849,true
850,underlying
851,feature
852,requests
853,recommend
854,alternative
855,technical
856,approaches
857,lead
858,engineering
859,efforts
860,meet
861,ambitious
862,timelines
863,optimal
864,solutions
865,prior
866,defining
867,scoping
868,pitching
869,technical
870,complicated
871,area
872,within
873,highly
874,technical
875,domain
876,strong
877,written
878,skills
879,aws-utilitycomputing-jobs
880,amazon
881,committed
882,diverse
883,inclusive
884,workplace
885,amazon
886,discriminate
887,basis
888,identity
889,legally
890,would
891,like
892,request
893,https
894,//www.amazon.jobs/en/disability/us
895,4+
896,years
897,professional
898,software
899,development
900,3+
901,years
902,programming
903,least
904,software
905,programming
906,language
907,2+
908,years
909,contributing
910,system
911,design
912,architecture
913,architecture
914,design
915,patterns
916,reliability
917,scaling
918,current
919,systems
920,mentor
921,tech
922,lead
923,leading
924,engineering
925,summary
926,aws
927,identity
928,access
929,management
930,open
931,seat
932,experienced
933,senior
934,software
935,development
936,engineer
937,looking
938,advance
939,career
940,professional
941,interest
942,ambition
943,shaping
944,technical
945,direction
946,critical
947,aws
948,part
949,deepen
950,technical
951,expertise
952,grow
953,proficiency
954,distributed
955,software
956,design
957,navigate
958,operational
959,challenges
960,global
961,highly
962,available
963,system
964,load
965,hone
966,leadership
967,mentorship
968,skills
969,collaborate
970,learn
971,strongest
972,software
973,security
974,infrastructure
975,engineers
976,industry
977,leverage
978,amazon
979,ample
980,resources
981,innovate
982,behalf
983,customers
984,key
985,aws
986,identity
987,access
988,management
989,build
990,operate
991,authentication
992,authorization
993,stack
994,aws
995,cloud
996,including
997,foundational
998,apis
999,user
1000,role
1001,policy
1002,management
1003,build
1004,distributed
1005,highly
1006,available
1007,fault
1008,tolerant
1009,mission-critical
1010,software
1011,operate
1012,global
1013,scale
1014,systems
1015,end-to-end
1016,innovate
1017,influence
1018,direction
1019,technology
1020,used
1021,aws
1022,aws
1023,customers
1024,around
1025,world
1026,mission
1027,equip
1028,customers
1029,state-of-the-art
1030,tools
1031,manage
1032,access
1033,aws
1034,resources
1035,ensure
1036,aws
1037,environments
1038,provably
1039,secure
1040,year
1041,year
1042,aim
1043,increase
1044,flexibility
1045,controls
1046,reduce
1047,complexity
1048,configurations
1049,positioning
1050,customers
1051,implement
1052,security
1053,ease
1054,mentorship
1055,career
1056,development
1057,senior
1058,member
1059,engineering
1060,shortage
1061,great
1062,technical
1063,challenges
1064,propel
1065,software
1066,engineering
1067,career
1068,next
1069,level
1070,broad
1071,mix
1072,levels
1073,tenures
1074,thoughtfully
1075,invest
1076,creating
1077,growth
1078,opportunities
1079,building
1080,environment
1081,celebrates
1082,collaboration
1083,knowledge
1084,sharing
1085,mentorship
1086,working
1087,close
1088,partnership
1089,senior
1090,principal
1091,engineers
1092,well
1093,senior
1094,leaders
1095,charter
1096,technical
1097,path
1098,coach
1099,mentor
1100,help
1101,make
1102,reality
1103,hybrid
1104,options
1105,available
